date,period,word_count,sentiment,relationships_count,work_projects_count,self_reflection_count,emotional_struggle_count,achievement_count
2020-08-01,post_graduation,270,-0.04807692307692308,0,3,4,1,3
2020-09-23,post_graduation,741,-0.02601701951017019,2,3,4,1,4
2020-11-09,post_graduation,301,0.2335394763966193,3,0,3,5,1
2020-11-10,post_graduation,610,-0.09028571428571429,3,1,2,1,1
2020-11-15,post_graduation,38,-0.022222222222222216,0,0,1,0,0
2020-12-27,post_graduation,1039,-0.033262509549274295,3,4,4,1,1
2021-01-11,post_graduation,208,0.0034999999999999966,1,1,1,0,0
2021-03-04,post_graduation,308,0.08058665472458576,1,0,6,1,1
2021-03-06,post_graduation,0,0.0,0,0,0,0,0
2021-03-07,post_graduation,460,-0.09488233397807867,2,2,4,3,0
2021-03-11,post_graduation,817,-0.03513257575757575,3,2,6,4,2
2021-03-11,post_graduation,474,-0.061547911547911546,4,2,4,1,2
2021-03-27,post_graduation,267,-0.07566666666666666,0,0,4,1,1
2021-03-29,post_graduation,642,-0.03424299816345271,2,4,3,3,0
2021-04-06,post_graduation,565,-0.015748527428855293,1,1,5,2,1
2021-04-07,post_graduation,346,-0.11916120666120666,4,3,5,3,3
2021-04-07,post_graduation,209,0.07283549783549782,0,0,1,1,0
2021-04-09,post_graduation,238,0.18014223871366727,1,2,2,1,0
2021-04-14,post_graduation,503,0.05260416666666667,2,2,6,4,0
2021-04-15,post_graduation,376,0.0612471655328798,0,1,3,2,1
2021-04-16,post_graduation,540,0.08112179487179488,3,4,3,3,1
2021-04-20,post_graduation,692,-0.06458017676767676,3,2,3,5,3
2021-04-20,post_graduation,924,0.011532555282555285,3,3,3,3,2
2021-05-03,post_graduation,626,0.08168967784352399,2,3,3,2,0
2021-05-06,post_graduation,633,0.1927024147727273,4,1,5,2,2
2021-05-14,post_graduation,190,0.17763157894736842,2,0,2,1,1
2021-05-23,post_graduation,533,0.012127976190476201,0,0,4,1,1
2021-05-27,post_graduation,217,0.1933333333333333,1,0,6,0,0
2021-06-07,post_graduation,252,0.10037878787878789,2,0,2,1,2
2021-06-09,post_graduation,123,-0.04047619047619046,0,1,2,0,0
2021-06-09,post_graduation,50,-0.011111111111111108,0,0,2,0,0
2021-06-14,post_graduation,73,0.0625,1,0,1,0,0
2021-06-16,post_graduation,235,-0.015052872474747457,0,2,3,1,2
2021-06-20,post_graduation,349,0.15489864864864866,2,2,5,0,1
2021-06-20,post_graduation,202,-0.039048089591567865,0,4,1,2,0
2021-06-25,post_graduation,115,0.18958333333333335,2,0,2,0,0
2021-07-05,post_graduation,1067,0.10586088154269963,3,1,5,1,1
2021-07-08,post_graduation,412,0.08238581146744413,2,0,1,0,2
2021-07-19,post_graduation,38,-0.07500000000000001,0,0,0,0,0
2021-10-18,post_graduation,38,0.15535714285714286,0,0,0,0,0
2021-10-31,post_graduation,296,-0.004629629629629632,0,3,4,1,2
2021-11-05,post_graduation,42,0.03409090909090909,1,0,1,1,1
2022-01-02,post_graduation,1141,0.01064968195070238,2,3,8,4,2
2022-01-05,post_graduation,150,0.11666666666666667,1,1,2,1,1
2022-03-15,post_graduation,49,0.018750000000000017,0,0,0,0,1
2022-04-19,post_graduation,168,-0.1423611111111111,0,1,1,0,0
2022-04-21,post_graduation,231,-0.10716720779220781,0,0,0,2,1
2022-05-17,post_graduation,266,-0.11084280303030306,1,3,2,1,0
2022-05-17,post_graduation,513,-0.023497335997336,0,1,6,5,1
2022-05-24,post_graduation,119,0.21289983164983164,0,1,1,0,2
2022-06-09,post_graduation,329,-0.07178030303030303,0,3,2,2,1
2022-06-09,post_graduation,20,0.0,0,0,0,0,0
2022-06-22,post_graduation,0,0.0,0,0,0,0,0
2022-06-28,post_graduation,23,0.35,0,0,0,0,0
2022-07-18,post_graduation,26,-0.11623931623931626,0,1,0,0,0
2022-07-20,post_graduation,373,-0.0679828588919498,0,2,3,1,1
2022-07-23,post_graduation,411,0.12440181700385781,0,3,3,1,1
